"Iteracja","Best Result","Worst Result","Average Cost"
"1","12085.423","12174.861","12088.71055501302"
"2","12084.976","12223.53","12093.460636393229"
"3","12084.976","12188.343","12092.176315646702"
"4","12085.615","12194.907","12094.066259765625"
"5","12085.081","12227.933","12095.904937065972"
"6","12084.976","12203.498","12093.424839952257"
"7","12084.976","12235.738","12097.429901801215"
"8","12084.976","12189.057","12093.315945095486"
"9","12084.976","12183.036","12088.042648654515"
"10","12084.976","12179.634","12087.501418728298"
